DYFAMED 53 Sediment trap from August 2012 to May 2013											
"SOERE/SNO MOOSE (L.Coppola, N.Leblond)"											
Location of sediment trap mooring: 43.41250N; 7.89250E											
											
Notes:											
Dyf53 1000/2	Storage problem. Mass flux measurement only										
Dyf53 200/18	"Few particulate material. One measurement done, no standard deviation"										
Dyf53 200/19	"Few particulate material. One measurement done for TC, no standard deviation"										
											
											
Sample	Depth	Starting date	Ending date	Mass flux (mg/m2/d)	Std	Total Carbon Flux (mg/m2/d)	Std	Total Nitrogen Flux (mg/m2/d)	Std	Particulate Organic Carbon Flux (mg/m2/d)	Std
DYF53 1000/1	1000	8/1/12	8/15/12	14.38	0.03	2.04	0.01	0.19	0.01	1.54	0.03
DYF53 1000/2*	1000	8/15/12	8/29/12	49.36	0.02	NaN	NaN	NaN	NaN	NaN	NaN
DYF53 1000/3	1000	8/29/12	9/12/12	37.00	0.04	5.57	0.05	0.62	0.04	4.45	0.13
DYF53 1000/4	1000	9/12/12	9/26/12	29.46	0.04	3.76	0.06	0.31	0.00	2.71	0.07
DYF53 1000/5	1000	9/26/12	10/10/12	50.73	0.05	5.60	0.03	0.49	0.03	3.87	0.09
DYF53 1000/6	1000	10/10/12	10/24/12	53.53	0.02	4.38	0.01	0.32	0.00	2.85	0.05
DYF53 1000/7	1000	10/24/12	11/7/12	29.42	0.04	2.94	0.01	0.25	0.00	1.94	0.03
DYF53 1000/8	1000	11/7/12	11/21/12	21.49	0.03	2.27	0.04	0.19	0.03	1.52	0.05
DYF53 1000/9	1000	11/21/12	12/5/12	19.94	0.04	1.97	0.00	0.15	0.00	1.21	0.04
DYF53 1000/10	1000	12/5/12	12/19/12	16.64	0.03	1.52	0.01	0.12	0.00	0.88	0.01
DYF53 1000/11	1000	12/19/12	1/2/13	9.41	0.04	0.81	0.01	0.07	0.00	0.48	0.03
DYF53 1000/12	1000	1/2/13	1/16/13	3.52	0.01	0.39	0.00	0.04	0.00	0.24	0.00
DYF53 1000/13	1000	1/16/13	1/30/13	4.14	0.03	0.44	0.00	0.04	0.00	0.22	0.02
DYF53 1000/14	1000	1/30/13	2/13/13	12.99	0.05	0.93	0.03	0.08	0.00	0.61	0.03
DYF53 1000/15	1000	2/13/13	2/27/13	75.72	0.03	3.34	0.03	0.35	0.01	2.73	0.10
DYF53 1000/16	1000	2/27/13	3/13/13	123.55	0.05	6.49	0.33	0.41	0.04	3.10	0.04
DYF53 1000/17	1000	3/13/13	3/27/13	75.73	0.03	3.73	0.07	0.24	0.00	1.86	0.00
DYF53 1000/18	1000	3/27/13	4/10/13	264.64	0.06	12.17	0.64	0.90	0.04	6.90	0.09
DYF53 1000/19	1000	4/10/13	4/24/13	242.33	0.09	12.01	0.64	0.83	0.08	6.15	0.07
DYF53 1000/20	1000	4/24/13	5/8/13	327.16	0.10	17.26	0.57	1.36	0.08	9.96	0.54
DYF53 1000/21	1000	5/8/13	5/22/13	195.14	0.09	14.00	0.15	1.23	0.09	9.61	0.42
											
DYF53 200/1	200	8/1/12	8/15/12	12.00	0.03	3.35	0.01	0.46	0.03	2.60	0.02
DYF53 200/2	200	8/15/12	8/29/12	15.66	0.03	4.27	0.13	0.49	0.01	3.40	0.01
DYF53 200/3	200	8/29/12	9/12/12	16.59	0.05	3.84	0.01	0.42	0.02	2.96	0.11
DYF53 200/4	200	9/12/12	9/26/12	11.97	0.02	2.76	0.03	0.32	0.00	2.16	0.03
DYF53 200/5	200	9/26/12	10/10/12	26.10	0.05	3.88	0.09	0.44	0.03	2.79	0.05
DYF53 200/6	200	10/10/12	10/24/12	24.19	0.03	3.75	0.07	0.43	0.01	2.84	0.02
DYF53 200/7	200	10/24/12	11/7/12	23.27	0.03	3.57	0.05	0.38	0.03	2.43	0.02
DYF53 200/8	200	11/7/12	11/21/12	30.94	0.05	4.17	0.04	0.47	0.00	2.82	0.04
DYF53 200/9	200	11/21/12	12/5/12	49.67	0.03	6.04	0.03	0.65	0.02	4.14	0.17
DYF53 200/10	200	12/5/12	12/19/12	84.80	0.05	9.05	0.17	0.91	0.07	5.66	0.16
DYF53 200/11	200	12/19/12	1/2/13	35.55	0.03	4.29	0.04	0.57	0.04	2.89	0.07
DYF53 200/12	200	1/2/13	1/16/13	69.50	0.05	7.40	0.09	0.85	0.03	4.88	0.13
DYF53 200/13	200	1/16/13	1/30/13	35.62	0.05	3.47	0.00	0.48	0.01	2.23	0.05
DYF53 200/14	200	1/30/13	2/13/13	21.72	0.01	3.53	0.03	0.58	0.01	2.80	0.14
DYF53 200/15	200	2/13/13	2/27/13	25.02	0.02	2.42	0.04	0.27	0.01	1.44	0.03
DYF53 200/16	200	2/27/13	3/13/13	25.13	0.01	2.80	0.04	0.35	0.00	1.98	0.12
DYF53 200/17	200	3/13/13	3/27/13	124.48	0.03	18.66	0.36	2.73	0.05	15.38	0.47
DYF53 200/18*	200	3/27/13	4/10/13	1.47	0.00	0.15	NaN	0.01	NaN	0.09	NaN
DYF53 200/19*	200	4/10/13	4/24/13	0.57	0.01	0.04	NaN	NaN	NaN	NaN	NaN
DYF53 1000/20	200	4/24/13	5/8/13	NaN	NaN	NaN	NaN	NaN NaN NaN NaN
DYF53 1000/21	200	5/8/13	5/22/13	NaN	NaN	NaN	NaN	NaN NaN NaN NaN
