"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2015-01-01T00:00:00.000Z,"1300","16",20,10,0
2015-01-02T00:00:00.000Z,"1320","16",20,10,0
2015-01-03T00:00:00.000Z,"1370","16",20,10,0
2015-01-04T00:00:00.000Z,"1360","16",20,10,0
2015-01-05T00:00:00.000Z,"2020","16",20,10,0
2015-01-06T00:00:00.000Z,"2170","16",20,10,0
2015-01-07T00:00:00.000Z,"2230","16",20,10,0
2015-01-08T00:00:00.000Z,"2190","16",20,10,0
2015-01-09T00:00:00.000Z,"2050","16",20,10,0
2015-01-10T00:00:00.000Z,"1740","16",20,10,0
2015-01-11T00:00:00.000Z,"1400","16",20,10,0
2015-01-12T00:00:00.000Z,"1780","16",20,10,0
2015-01-13T00:00:00.000Z,"1930","16",20,10,0
2015-01-14T00:00:00.000Z,"1950","16",20,10,0
2015-01-15T00:00:00.000Z,"2020","16",20,10,0
2015-01-16T00:00:00.000Z,"2050","16",20,10,0
2015-01-17T00:00:00.000Z,"2830","16",20,10,0
2015-01-18T00:00:00.000Z,"3050","16",20,10,0
2015-01-19T00:00:00.000Z,"2880","16",20,10,0
2015-01-20T00:00:00.000Z,"3500","16",20,10,0
2015-01-21T00:00:00.000Z,"3590","16",20,10,0
2015-01-22T00:00:00.000Z,"3700","16",20,10,0
2015-01-23T00:00:00.000Z,"3220","16",20,10,0
2015-01-24T00:00:00.000Z,"2630","16",20,10,0
2015-01-25T00:00:00.000Z,"1840","16",20,10,0
2015-01-26T00:00:00.000Z,"1910","16",20,10,0
2015-01-27T00:00:00.000Z,"1830","16",20,10,0
2015-01-28T00:00:00.000Z,"1910","16",20,10,0
2015-01-29T00:00:00.000Z,"1900","16",20,10,0
2015-01-30T00:00:00.000Z,"2080","16",20,10,0
2015-01-31T00:00:00.000Z,"2770","16",20,10,0
2015-02-01T00:00:00.000Z,"2680","16",20,10,0
2015-02-02T00:00:00.000Z,"2570","16",20,10,0
2015-02-03T00:00:00.000Z,"2750","16",20,10,0
2015-02-04T00:00:00.000Z,"2710","16",20,10,0
2015-02-05T00:00:00.000Z,"2560","16",20,10,0
2015-02-06T00:00:00.000Z,"2360","16",20,10,0
2015-02-07T00:00:00.000Z,"2040","16",20,10,0
2015-02-08T00:00:00.000Z,"1590","16",20,10,0
2015-02-09T00:00:00.000Z,"1620","16",20,10,0
2015-02-10T00:00:00.000Z,"1670","16",20,10,0
2015-02-11T00:00:00.000Z,"1620","16",20,10,0
2015-02-12T00:00:00.000Z,"1540","16",20,10,0
2015-02-13T00:00:00.000Z,"1540","16",20,10,0
2015-02-14T00:00:00.000Z,"1560","16",20,10,0
2015-02-15T00:00:00.000Z,"1800","16",20,10,0
2015-02-16T00:00:00.000Z,"1980","16",20,10,0
2015-02-17T00:00:00.000Z,"2100","16",20,10,0
2015-02-18T00:00:00.000Z,"2010","16",20,10,0
2015-02-19T00:00:00.000Z,"1890","16",20,10,0
2015-02-20T00:00:00.000Z,"1760","16",20,10,0
2015-02-21T00:00:00.000Z,"1910","16",20,10,0
2015-02-22T00:00:00.000Z,"2260","16",20,10,0
2015-02-23T00:00:00.000Z,"2160","16",20,10,0
2015-02-24T00:00:00.000Z,"2110","16",20,10,0
2015-02-25T00:00:00.000Z,"2050","16",20,10,0
2015-02-26T00:00:00.000Z,"2140","16",20,10,0
2015-02-27T00:00:00.000Z,"2210","16",20,10,0
2015-02-28T00:00:00.000Z,"2390","16",20,10,0
2015-03-01T00:00:00.000Z,"2340","16",20,10,0
2015-03-02T00:00:00.000Z,"2270","16",20,10,0
2015-03-03T00:00:00.000Z,"3140","16",20,10,0
2015-03-04T00:00:00.000Z,"3050","16",20,10,0
2015-03-05T00:00:00.000Z,"2780","16",20,10,0
2015-03-06T00:00:00.000Z,"2740","16",20,10,0
2015-03-07T00:00:00.000Z,"2590","16",20,10,0
2015-03-08T00:00:00.000Z,"2100","16",20,10,0
2015-03-09T00:00:00.000Z,"1980","16",20,10,0
2015-03-10T00:00:00.000Z,"1850","16",20,10,0
2015-03-11T00:00:00.000Z,"1820","16",20,10,0
2015-03-12T00:00:00.000Z,"1750","16",20,10,0
2015-03-13T00:00:00.000Z,"1750","16",20,10,0
2015-03-14T00:00:00.000Z,"1590","16",20,10,0
2015-03-15T00:00:00.000Z,"1490","16",20,10,0
2015-03-16T00:00:00.000Z,"1590","16",20,10,0
2015-03-17T00:00:00.000Z,"1590","16",20,10,0
2015-03-18T00:00:00.000Z,"1570","16",20,10,0
2015-03-19T00:00:00.000Z,"1510","16",20,10,0
2015-03-20T00:00:00.000Z,"1490","16",20,10,0
2015-03-21T00:00:00.000Z,"1420","16",20,10,0
2015-03-22T00:00:00.000Z,"1290","16",20,10,0
2015-03-23T00:00:00.000Z,"1400","16",20,10,0
2015-03-24T00:00:00.000Z,"1390","16",20,10,0
2015-03-25T00:00:00.000Z,"1400","16",20,10,0
2015-03-26T00:00:00.000Z,"1500","16",20,10,0
2015-03-27T00:00:00.000Z,"1390","16",20,10,0
2015-03-28T00:00:00.000Z,"1230","16",20,10,0
2015-03-29T00:00:00.000Z,"1110","16",20,10,0
2015-03-30T00:00:00.000Z,"1730","16",20,10,0
2015-03-31T00:00:00.000Z,"2990","16",20,10,0
2015-04-01T00:00:00.000Z,"3290","16",20,10,0
2015-04-02T00:00:00.000Z,"2960","16",20,10,0
2015-04-03T00:00:00.000Z,"2610","16",20,10,0
2015-04-04T00:00:00.000Z,"2490","16",20,10,0
2015-04-05T00:00:00.000Z,"2520","16",20,10,0
2015-04-06T00:00:00.000Z,"2420","16",20,10,0
2015-04-07T00:00:00.000Z,"2280","16",20,10,0
2015-04-08T00:00:00.000Z,"2190","16",20,10,0
2015-04-09T00:00:00.000Z,"1910","16",20,10,0
2015-04-10T00:00:00.000Z,"1640","16",20,10,0
2015-04-11T00:00:00.000Z,"1500","16",20,10,0
2015-04-12T00:00:00.000Z,"1250","16",20,10,0
2015-04-13T00:00:00.000Z,"1320","16",20,10,0
2015-04-14T00:00:00.000Z,"1390","16",20,10,0
2015-04-15T00:00:00.000Z,"1400","16",20,10,0
2015-04-16T00:00:00.000Z,"1420","16",20,10,0
2015-04-17T00:00:00.000Z,"1490","16",20,10,0
2015-04-18T00:00:00.000Z,"1410","16",20,10,0
2015-04-19T00:00:00.000Z,"1250","16",20,10,0
2015-04-20T00:00:00.000Z,"1400","16",20,10,0
2015-04-21T00:00:00.000Z,"1310","16",20,10,0
2015-04-22T00:00:00.000Z,"1220","16",20,10,0
2015-04-23T00:00:00.000Z,"1110","16",20,10,0
2015-04-24T00:00:00.000Z,"1200","16",20,10,0
2015-04-25T00:00:00.000Z,"1070","16",20,10,0
2015-04-26T00:00:00.000Z,"1020","16",20,10,0
