"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2016-01-23T00:00:00.000Z,"19.4","16",20,10,1
2016-01-24T00:00:00.000Z,"19.5","16",20,10,0
2016-01-25T00:00:00.000Z,"19.5","16",20,10,0
2016-01-26T00:00:00.000Z,"19.7","16",20,10,0
2016-01-27T00:00:00.000Z,"19.7","16",20,10,0
2016-01-28T00:00:00.000Z,"20.0","16",20,10,0
2016-01-29T00:00:00.000Z,"19.9","16",20,10,0
2016-01-30T00:00:00.000Z,"19.8","16",20,10,0
2016-01-31T00:00:00.000Z,"19.7","16",20,10,0
2016-02-01T00:00:00.000Z,"20.0","16",20,10,0
2016-02-02T00:00:00.000Z,"20.1","16",20,10,0
2016-02-03T00:00:00.000Z,"20.2","16",20,10,0
2016-02-04T00:00:00.000Z,"19.8","16",20,10,0
2016-02-05T00:00:00.000Z,"19.8","16",20,10,0
2016-02-06T00:00:00.000Z,"19.7","16",20,10,0
2016-02-07T00:00:00.000Z,"58.3","16",20,10,0
2016-02-08T00:00:00.000Z,"83.1","16",20,10,0
2016-02-09T00:00:00.000Z,"45.7","16",20,10,0
2016-02-10T00:00:00.000Z,"62.0","16",20,10,0
2016-02-11T00:00:00.000Z,"46.6","16",20,10,0
2016-02-12T00:00:00.000Z,"38.8","16",20,10,0
2016-02-13T00:00:00.000Z,"34.2","16",20,10,0
2016-02-14T00:00:00.000Z,"38.1","16",20,10,0
2016-02-15T00:00:00.000Z,"38.0","16",20,10,0
2016-02-16T00:00:00.000Z,"33.1","16",20,10,0
2016-02-17T00:00:00.000Z,"30.4","16",20,10,0
2016-02-18T00:00:00.000Z,"28.0","16",20,10,0
2016-02-19T00:00:00.000Z,"26.5","16",20,10,0
2016-02-20T00:00:00.000Z,"25.3","16",20,10,0
2016-02-21T00:00:00.000Z,"26.2","16",20,10,0
2016-02-22T00:00:00.000Z,"31.3","16",20,10,0
2016-02-23T00:00:00.000Z,"40.3","16",20,10,0
2016-02-24T00:00:00.000Z,"38.1","16",20,10,0
2016-02-25T00:00:00.000Z,"33.7","16",20,10,0
2016-02-26T00:00:00.000Z,"30.5","16",20,10,0
2016-02-27T00:00:00.000Z,"30.5","16",20,10,0
2016-02-28T00:00:00.000Z,"54.6","16",20,10,0
2016-02-29T00:00:00.000Z,"53.4","16",20,10,0
2016-03-01T00:00:00.000Z,"49.9","16",20,10,0
2016-03-02T00:00:00.000Z,"46.9","16",20,10,0
2016-03-03T00:00:00.000Z,"48.6","16",20,10,0
2016-03-04T00:00:00.000Z,"44.8","16",20,10,0
2016-03-05T00:00:00.000Z,"168","16",20,10,0
2016-03-06T00:00:00.000Z,"116","16",20,10,0
2016-03-07T00:00:00.000Z,"78.0","16",20,10,0
2016-03-08T00:00:00.000Z,"62.3","16",20,10,0
2016-03-09T00:00:00.000Z,"49.0","16",20,10,0
2016-03-10T00:00:00.000Z,"43.3","16",20,10,0
2016-03-11T00:00:00.000Z,"39.7","16",20,10,0
2016-03-12T00:00:00.000Z,"36.8","16",20,10,0
2016-03-13T00:00:00.000Z,"36.2","16",20,10,0
2016-03-14T00:00:00.000Z,"34.4","16",20,10,0
2016-03-15T00:00:00.000Z,"32.3","16",20,10,0
2016-03-16T00:00:00.000Z,"33.2","16",20,10,0
2016-03-17T00:00:00.000Z,"36.5","16",20,10,0
2016-03-18T00:00:00.000Z,"36.1","16",20,10,0
2016-03-19T00:00:00.000Z,"37.6","16",20,10,0
2016-03-20T00:00:00.000Z,"40.2","16",20,10,0
2016-03-21T00:00:00.000Z,"40.7","16",20,10,0
2016-03-22T00:00:00.000Z,"41.9","16",20,10,0
2016-03-23T00:00:00.000Z,"41.9","16",20,10,0
2016-03-24T00:00:00.000Z,"39.2","16",20,10,0
2016-03-25T00:00:00.000Z,"37.9","16",20,10,0
2016-03-26T00:00:00.000Z,"36.3","16",20,10,0
2016-03-27T00:00:00.000Z,"37.6","16",20,10,0
2016-03-28T00:00:00.000Z,"36.7","16",20,10,0
2016-03-29T00:00:00.000Z,"35.2","16",20,10,0
2016-03-30T00:00:00.000Z,"36.1","16",20,10,0
2016-03-31T00:00:00.000Z,"38.4","16",20,10,0
2016-04-01T00:00:00.000Z,"42.0","16",20,10,0
2016-04-02T00:00:00.000Z,"50.2","16",20,10,0
2016-04-03T00:00:00.000Z,"56.6","16",20,10,0
2016-04-04T00:00:00.000Z,"55.1","16",20,10,0
2016-04-05T00:00:00.000Z,"54.9","16",20,10,0
2016-04-06T00:00:00.000Z,"55.5","16",20,10,0
2016-04-07T00:00:00.000Z,"60.6","16",20,10,0
2016-04-08T00:00:00.000Z,"59.6","16",20,10,0
2016-04-09T00:00:00.000Z,"50.3","16",20,10,0
2016-04-10T00:00:00.000Z,"43.5","16",20,10,0
2016-04-11T00:00:00.000Z,"43.2","16",20,10,0
2016-04-12T00:00:00.000Z,"43.4","16",20,10,0
2016-04-13T00:00:00.000Z,"43.0","16",20,10,0
2016-04-14T00:00:00.000Z,"42.7","16",20,10,0
2016-04-15T00:00:00.000Z,"39.5","16",20,10,0
2016-04-16T00:00:00.000Z,"41.0","16",20,10,0
2016-04-17T00:00:00.000Z,"42.6","16",20,10,0
2016-04-18T00:00:00.000Z,"47.3","16",20,10,0
2016-04-19T00:00:00.000Z,"43.6","16",20,10,0
2016-04-20T00:00:00.000Z,"41.4","16",20,10,0
2016-04-21T00:00:00.000Z,"43.5","16",20,10,0
2016-04-22T00:00:00.000Z,"42.1","16",20,10,0
2016-04-23T00:00:00.000Z,"44.5","16",20,10,0
2016-04-24T00:00:00.000Z,"44.2","16",20,10,0
2016-04-25T00:00:00.000Z,"40.3","16",20,10,0
2016-04-26T00:00:00.000Z,"38.6","16",20,10,0
2016-04-27T00:00:00.000Z,"35.2","16",20,10,0
2016-04-28T00:00:00.000Z,"34.0","16",20,10,0
2016-04-29T00:00:00.000Z,"32.8","16",20,10,0
2016-04-30T00:00:00.000Z,"31.4","16",20,10,0
2016-05-01T00:00:00.000Z,"29.9","16",20,10,0
2016-05-02T00:00:00.000Z,"28.2","16",20,10,0
2016-05-03T00:00:00.000Z,"27.8","16",20,10,0
2016-05-04T00:00:00.000Z,"29.0","16",20,10,0
2016-05-05T00:00:00.000Z,"30.2","16",20,10,0
2016-05-06T00:00:00.000Z,"29.9","16",20,10,0
2016-05-07T00:00:00.000Z,"29.7","16",20,10,0
2016-05-08T00:00:00.000Z,"29.3","16",20,10,0
2016-05-09T00:00:00.000Z,"33.2","16",20,10,0
2016-05-10T00:00:00.000Z,"54.0","16",20,10,0
2016-05-11T00:00:00.000Z,"83.3","16",20,10,0
2016-05-12T00:00:00.000Z,"112","16",20,10,0
2016-05-13T00:00:00.000Z,"80.9","16",20,10,0
2016-05-14T00:00:00.000Z,"66.4","16",20,10,0
2016-05-15T00:00:00.000Z,"64.1","16",20,10,0
2016-05-16T00:00:00.000Z,"57.8","16",20,10,0
2016-05-17T00:00:00.000Z,"52.4","16",20,10,0
2016-05-18T00:00:00.000Z,"46.3","16",20,10,0
2016-05-19T00:00:00.000Z,"44.3","16",20,10,0
2016-05-20T00:00:00.000Z,"40.9","16",20,10,0
2016-05-21T00:00:00.000Z,"41.2","16",20,10,0
2016-05-22T00:00:00.000Z,"43.5","16",20,10,0
2016-05-23T00:00:00.000Z,"44.6","16",20,10,0
2016-05-24T00:00:00.000Z,"39.4","16",20,10,0
2016-05-25T00:00:00.000Z,"34.9","16",20,10,0
2016-05-26T00:00:00.000Z,"35.9","16",20,10,0
2016-05-27T00:00:00.000Z,"36.6","16",20,10,0
2016-05-28T00:00:00.000Z,"41.2","16",20,10,0
2016-05-29T00:00:00.000Z,"54.0","16",20,10,0
2016-05-30T00:00:00.000Z,"48.9","16",20,10,0
2016-05-31T00:00:00.000Z,"39.2","16",20,10,0
2016-06-01T00:00:00.000Z,"36.8","16",20,10,0
2016-06-02T00:00:00.000Z,"35.2","16",20,10,0
2016-06-03T00:00:00.000Z,"35.8","16",20,10,0
2016-06-04T00:00:00.000Z,"42.6","16",20,10,0
2016-06-05T00:00:00.000Z,"46.4","16",20,10,0
2016-06-06T00:00:00.000Z,"44.1","16",20,10,0
2016-06-07T00:00:00.000Z,"45.6","16",20,10,0
2016-06-08T00:00:00.000Z,"52.8","16",20,10,0
2016-06-09T00:00:00.000Z,"51.9","16",20,10,0
2016-06-10T00:00:00.000Z,"58.2","16",20,10,0
