serialnumber,CruiseNumber,day,month,year,time,Site,STATION,latitude,longitude,CTD,Depth,Bottle1,Bottle2,Bottle3,FilteredVolume,Chlorophyll_c3,Chlorophyll_c2,Chlorophyll_c1,Chlorophyll_c-like1,sum_Chld_a,Peridinin,sum_Phbd_a,19'-Butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,Violaxanthin,19'-Hexanoyloxyfucoxanthin,Diadinoxanthin,Alloxanthin,Diatoxanthin,Zeaxanthin,Lutein,Divinyl_Chlorophyll_b,Chlorophyll_b,TChlb,Bacteriochlorophyll_a,Divinyl_Chlorophyll_a,Chla,Tchla,Sum_carotene_a_+_b,Phaeophytin_a,DP,Flags,ap_measurement,APsample1,APsample2,APsample3,picoChla,nanoChla,microChla
1,1,24,7,2001,-9,boussole,B2407QU01,43.367,7.900,-9,1,-9,-9,-9,2.80,0.0000,0.0120,0.0000,-1.0000,0.0000,0.0130,0.0000,0.0100,0.0070,-1.0000,-1.0000,0.0000,0.0300,0.0280,0.0000,0.0180,0.0130,0.0030,-1.0000,-1.0000,0.0110,-1.0000,0.0000,0.1160,0.1160,0.0130,-1.0000,0.0921,A,no,nosample,nosample,nosample,0.0281,0.0524,0.0355
2,1,24,7,2001,-9,boussole,B2407QU02,43.367,7.900,-9,1,-9,-9,-9,2.80,0.0000,0.0080,0.0000,-1.0000,0.0000,0.0080,0.0000,0.0070,0.0040,-1.0000,-1.0000,0.0000,0.0220,0.0150,0.0000,0.0110,0.0110,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0860,0.0860,0.0070,-1.0000,0.0568,A,no,nosample,nosample,nosample,0.0143,0.0460,0.0256
3,1,22,7,2001,13.60,boussole,B2207001,43.365,7.905,1,5,1,2,-9,2.80,0.0060,0.0130,0.0000,-1.0000,0.0000,0.0110,0.0000,0.0100,0.0050,-1.0000,-1.0000,0.0000,0.0390,0.0180,0.0000,0.0140,0.0170,0.0000,-1.0000,-1.0000,0.0110,-1.0000,0.0000,0.1180,0.1180,0.0080,-1.0000,0.1013,A,no,nosample,nosample,nosample,0.0300,0.0618,0.0263
4,1,22,7,2001,15.57,boussole,B2207002,43.344,7.922,2,5,1,2,-9,2.75,0.0060,0.0130,0.0000,-1.0000,0.0000,0.0100,0.0000,0.0090,0.0130,-1.0000,-1.0000,0.0000,0.0370,0.0200,0.0000,0.0110,0.0150,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.1170,0.1170,0.0070,-1.0000,0.0955,A,no,nosample,nosample,nosample,0.0158,0.0614,0.0397
5,1,23,7,2001,12.20,boussole,B2307003,43.393,7.937,3,5,1,2,-9,2.80,0.0000,0.0140,0.0000,-1.0000,0.0000,0.0200,0.0000,0.0080,0.0050,-1.0000,-1.0000,0.0000,0.0350,0.0290,0.0000,0.0110,0.0140,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.1170,0.1170,0.0080,-1.0000,0.0945,A,no,nosample,nosample,nosample,0.0149,0.0585,0.0436
6,1,23,7,2001,15.87,boussole,B2307004,43.382,7.929,4,5,1,2,-9,2.80,0.0050,0.0140,0.0000,-1.0000,0.0000,0.0150,0.0000,0.0090,0.0070,-1.0000,-1.0000,0.0000,0.0390,0.0250,0.0000,0.0080,0.0140,0.0000,-1.0000,-1.0000,0.0090,-1.0000,0.0000,0.1150,0.1150,0.0080,-1.0000,0.1048,A,no,nosample,nosample,nosample,0.0232,0.0578,0.0340
7,1,24,7,2001,7.63,boussole,B2407005,43.367,7.904,5,5,1,2,-9,2.00,0.0110,0.0290,0.0000,-1.0000,0.0000,0.0330,0.0000,0.0210,0.0130,-1.0000,-1.0000,0.0000,0.0740,0.0380,0.0000,0.0160,0.0270,0.0000,-1.0000,-1.0000,0.0180,-1.0000,0.0000,0.2140,0.2140,0.0130,-1.0000,0.2076,A,no,nosample,nosample,nosample,0.0427,0.1045,0.0669
8,1,24,7,2001,9.63,boussole,B2407006,43.373,7.901,6,5,1,2,-9,2.80,0.0000,0.0120,0.0000,-1.0000,0.0000,0.0110,0.0000,0.0100,0.0060,-1.0000,-1.0000,0.0000,0.0370,0.0290,0.0000,0.0280,0.0170,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.1170,0.1170,0.0090,-1.0000,0.0891,A,no,nosample,nosample,nosample,0.0192,0.0663,0.0315
9,1,24,7,2001,13.83,boussole,B2407007,43.383,7.902,7,5,1,2,-9,2.80,0.0000,0.0060,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0060,0.0050,-1.0000,-1.0000,0.0000,0.0240,0.0150,0.0000,0.0180,0.0110,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0670,0.0670,0.0050,-1.0000,0.0491,A,no,nosample,nosample,nosample,0.0129,0.0445,0.0096
10,2,2,9,2001,7.42,boussole,B0901-11,43.368,7.898,1,10,-9,-9,-9,2.00,0.0000,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0050,0.0000,0.0000,0.0000,0.0080,0.0000,-1.0000,-1.0000,0.0000,-1.0000,0.0000,0.0230,0.0230,0.0000,-1.0000,0.0132,A,no,nosample,nosample,nosample,0.0120,0.0110,0.0000
