DYFAMED 52 Sediment trap from June 2011 to May 2012											
"SOERE MOOSE (L.Coppola, N.Leblond)"											
											
											
Sample	Depth (m)	Starting date	Ending date	Mass flux (mg/m2/d)	Std	Total Carbon Flux (mg/m2/d)	Std	Total Nitrogen Flux (mg/m2/d)	Std	Particulate Organic Carbon Flux (mg/m2/d)	Std
DYF52 1000/1	1000	6/25/11	7/9/11	113.88	0.06	11.71	0.20	0.76	0.00	6.30	0.19
DYF52 1000/2	1000	7/9/11	7/23/11	154.95	0.06	14.40	0.07	0.88	0.03	8.21	0.34
DYF52 1000/3	1000	7/23/11	8/6/11	72.03	0.02	8.32	0.28	0.49	0.01	3.60	0.27
DYF52 1000/4	1000	8/6/11	8/20/11	51.31	0.03	5.39	0.29	0.45	0.01	2.88	0.17
DYF52 1000/5	1000	8/20/11	9/3/11	23.10	0.01	2.74	0.03	0.16	0.02	1.15	0.09
DYF52 1000/6	1000	9/3/11	9/17/11	20.34	0.02	1.37	0.12	0.21	0.01	0.95	0.02
DYF52 1000/7	1000	9/17/11	10/1/11	12.51	0.04	0.54	0.02	0.10	0.01	0.51	0.00
DYF52 1000/8	1000	10/1/11	10/15/11	10.61	0.02	0.67	0.02	0.11	0.00	0.66	0.03
DYF52 1000/9	1000	10/15/11	10/29/11	6.94	0.01	0.56	0.03	0.07	0.00	0.40	0.02
DYF52 1000/10	1000	10/29/11	11/12/11	8.18	0.02	0.86	0.04	0.07	0.01	0.56	0.04
DYF52 1000/11	1000	11/12/11	11/26/11	6.23	0.01	0.34	0.01	0.03	0.00	0.26	0.03
DYF52 1000/12	1000	11/26/11	12/10/11	3.99	0.02	0.22	0.01	0.01	0.00	0.14	0.00
DYF52 1000/13	1000	12/10/11	12/24/11	4.99	0.02	0.38	0.02	0.02	0.00	0.15	0.01
DYF52 1000/14	1000	12/24/11	1/7/12	6.37	0.01	0.63	0.02	0.04	0.00	0.29	0.02
DYF52 1000/15	1000	1/7/12	1/21/12	8.76	0.02	0.58	0.01	0.06	0.00	0.46	0.01
DYF52 1000/16	1000	1/21/12	2/4/12	81.51	0.04	4.27	0.23	0.38	0.02	2.95	0.37
DYF52 1000/17	1000	2/4/12	2/18/12	41.84	0.02	1.69	0.32	0.17	0.01	1.57	0.06
DYF52 1000/18	1000	2/18/12	3/3/12	9.22	0.01	0.52	0.01	0.02	0.00	0.21	0.03
DYF52 1000/19	1000	3/3/12	3/17/12	2.72	0.02	0.25	0.01	0.02	0.00	0.13	0.01
DYF52 1000/20	1000	3/17/12	3/31/12	5.96	0.02	0.37	0.03	0.03	0.00	0.19	0.00
DYF52 1000/21	1000	3/31/12	4/14/12	1.25	0.02	0.11	0.00	0.01	0.00	0.06	0.00
DYF52 1000/22	1000	4/14/12	4/28/12	2.69	0.01	0.23	0.02	0.02	0.00	0.14	0.01
DYF52 1000/23	1000	4/28/12	5/12/12	2.34	0.01	0.23	0.01	0.02	0.00	0.14	0.01
DYF52 1000/24	1000	5/12/12	5/26/12	3.25	0.01	0.27	0.01	0.03	0.00	0.16	0.01
											
DYF52 200/1	200	6/25/11	7/9/11	26.49	0.02	5.93	0.03	0.53	0.00	4.46	0.14
DYF52 200/2	200	7/9/11	7/23/11	40.35	0.01	7.34	0.00	0.65	0.02	5.15	0.02
DYF52 200/3	200	7/23/11	8/6/11	88.88	0.05	12.40	0.11	0.93	0.01	7.66	0.02
DYF52 200/4	200	8/6/11	8/20/11	13.16	0.01	2.53	0.04	0.27	0.01	1.78	0.01
DYF52 200/5	200	8/20/11	9/3/11	7.70	0.01	1.59	0.03	0.18	0.00	1.38	0.02
DYF52 200/6	200	9/3/11	9/17/11	49.57	0.03	6.84	0.06	0.54	0.00	4.34	0.14
DYF52 200/7	200	9/17/11	10/1/11	6.81	0.01	1.28	0.01	0.17	0.00	0.96	0.00
DYF52 200/8	200	10/1/11	10/15/11	4.76	0.01	1.00	0.03	0.13	0.01	0.80	0.01
DYF52 200/9	200	10/15/11	10/29/11	10.20	0.01	1.62	0.00	0.16	0.00	1.12	0.03
DYF52 200/10	200	10/29/11	11/12/11	12.38	0.02	1.80	0.04	0.17	0.01	1.19	0.04
DYF52 200/11	200	11/12/11	11/26/11	14.83	0.01	2.08	0.03	0.18	0.01	1.23	0.01
DYF52 200/12	200	11/26/11	12/10/11	64.11	0.03	8.69	0.07	0.70	0.04	4.79	0.02
DYF52 200/13	200	12/10/11	12/24/11	18.27	0.02	2.63	0.08	0.29	0.03	1.63	0.02
DYF52 200/14	200	12/24/11	1/7/12	49.89	0.03	6.02	0.02	0.45	0.02	3.26	0.01
DYF52 200/15	200	1/7/12	1/21/12	17.93	0.03	3.04	0.01	0.38	0.00	1.97	0.12
DYF52 200/16	200	1/21/12	2/4/12	374.24	0.15	39.40	0.92	3.62	0.09	26.34	0.62
DYF52 200/17	200	2/4/12	2/18/12	85.63	0.05	10.18	0.25	0.85	0.03	5.63	0.14
DYF52 200/18	200	2/18/12	3/3/12	30.85	0.04	2.96	0.07	0.30	0.02	1.84	0.07
DYF52 200/19	200	3/3/12	3/17/12	68.94	0.01	7.52	0.29	0.99	0.12	5.41	0.25
DYF52 200/20	200	3/17/12	3/31/12	72.89	0.03	7.92	0.17	1.02	0.04	5.73	0.34
DYF52 200/21	200	3/31/12	4/14/12	28.55	0.03	3.85	0.21	0.49	0.04	2.85	0.10
DYF52 200/22	200	4/14/12	4/28/12	18.79	0.02	3.14	0.07	0.45	0.06	2.21	0.06
DYF52 200/23	200	4/28/12	5/12/12	16.70	0.01	2.78	0.01	0.41	0.02	2.39	0.05
