Date (TU),Valeur (en m³/s),Statut,Qualification,Méthode,Continuité
2010-01-01T00:00:00.000Z,23.5,12,20,10,0
2010-01-02T00:00:00.000Z,22.3,16,20,10,0
2010-01-03T00:00:00.000Z,18.6,16,20,10,0
2010-01-04T00:00:00.000Z,17.4,16,20,10,0
2010-01-05T00:00:00.000Z,17,16,20,10,0
2010-01-06T00:00:00.000Z,18.1,16,20,10,0
2010-01-07T00:00:00.000Z,17.1,16,20,10,0
2010-01-08T00:00:00.000Z,85.2,16,20,10,0
2010-01-09T00:00:00.000Z,182,16,20,10,0
2010-01-10T00:00:00.000Z,133,16,20,10,0
2010-01-11T00:00:00.000Z,83.5,16,20,10,0
2010-01-12T00:00:00.000Z,62.4,16,20,10,0
2010-01-13T00:00:00.000Z,72,16,20,10,0
2010-01-14T00:00:00.000Z,91.6,16,20,10,0
2010-01-15T00:00:00.000Z,110,16,20,10,0
2010-01-16T00:00:00.000Z,76.6,16,20,10,0
2010-01-17T00:00:00.000Z,57.8,16,20,10,0
2010-01-18T00:00:00.000Z,48.5,16,20,10,0
2010-01-19T00:00:00.000Z,42,16,20,10,0
2010-01-20T00:00:00.000Z,36.2,16,20,10,0
2010-01-21T00:00:00.000Z,32,16,20,10,0
2010-01-22T00:00:00.000Z,29.4,16,20,10,0
2010-01-23T00:00:00.000Z,26.6,16,20,10,0
2010-01-24T00:00:00.000Z,24.1,16,20,10,0
2010-01-25T00:00:00.000Z,22.7,16,20,10,0
2010-01-26T00:00:00.000Z,21.5,16,20,10,0
2010-01-27T00:00:00.000Z,20.3,16,20,10,0
2010-01-28T00:00:00.000Z,20,16,20,10,0
2010-01-29T00:00:00.000Z,18.8,16,20,10,0
2010-01-30T00:00:00.000Z,18.1,16,20,10,0
2010-01-31T00:00:00.000Z,17.8,16,20,10,0
2010-02-01T00:00:00.000Z,17.6,16,20,10,0
2010-02-02T00:00:00.000Z,15.7,16,20,10,0
2010-02-03T00:00:00.000Z,15.2,16,20,10,0
2010-02-04T00:00:00.000Z,15.2,16,20,10,0
2010-02-05T00:00:00.000Z,24.9,16,20,10,0
2010-02-06T00:00:00.000Z,35.9,16,20,10,0
2010-02-07T00:00:00.000Z,29.8,16,20,10,0
2010-02-08T00:00:00.000Z,26.3,16,20,10,0
2010-02-09T00:00:00.000Z,39.6,16,20,10,0
2010-02-10T00:00:00.000Z,35.5,16,20,10,0
2010-02-11T00:00:00.000Z,31,16,20,10,0
2010-02-12T00:00:00.000Z,26.7,16,20,10,0
2010-02-13T00:00:00.000Z,24.4,16,20,10,0
2010-02-14T00:00:00.000Z,22,16,20,10,0
2010-02-15T00:00:00.000Z,20.9,16,20,10,0
2010-02-16T00:00:00.000Z,19.3,16,20,10,0
2010-02-17T00:00:00.000Z,20.8,16,20,10,0
2010-02-18T00:00:00.000Z,45.1,16,20,10,0
2010-02-19T00:00:00.000Z,88.1,16,20,10,0
