Stazione,Pontedera,,,,,,,,,,,,,,
Codice,TOS01005181,,,,,,,,,,,,,,
Comune,Pontedera,,,,,,,,,,,,,,
Provincia,PI,,,,,,,,,,,,,,
GB [m],E,1631547,N,4836012,,,,,,,,,,,
WGS84 [°],Lat,43.665,Lon,10.631,,,,,,,,,,,
Quota [m],10,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
02/01/2006,,@,,,,,,,,,,,,,
03/01/2006,,@,,,,,,,,,,,,,
04/01/2006,,@,,,,,,,,,,,,,
05/01/2006,,@,,,,,,,,,,,,,
06/01/2006,,@,,,,,,,,,,,,,
07/01/2006,,@,,,,,,,,,,,,,
08/01/2006,,@,,,,,,,,,,,,,
09/01/2006,,@,,,,,,,,,,,,,
10/01/2006,,@,,,,,,,,,,,,,
11/01/2006,,@,,,,,,,,,,,,,
12/01/2006,,@,,,,,,,,,,,,,
13/01/2006,,@,,,,,,,,,,,,,
14/01/2006,,@,,,,,,,,,,,,,
15/01/2006,,@,,,,,,,,,,,,,
16/01/2006,,@,,,,,,,,,,,,,
17/01/2006,,@,,,,,,,,,,,,,
18/01/2006,,@,,,,,,,,,,,,,
19/01/2006,,@,,,,,,,,,,,,,
20/01/2006,,@,,,,,,,,,,,,,
21/01/2006,,@,,,,,,,,,,,,,
22/01/2006,,@,,,,,,,,,,,,,
23/01/2006,,@,,,,,,,,,,,,,
24/01/2006,,@,,,,,,,,,,,,,
25/01/2006,,@,,,,,,,,,,,,,
26/01/2006,88,560,V,,,,,,,,,,,,
27/01/2006,88,38,V,,,,,,,,,,,,
28/01/2006,87,937,V,,,,,,,,,,,,
29/01/2006,90,322,V,,,,,,,,,,,,
30/01/2006,89,452,V,,,,,,,,,,,,
31/01/2006,87,394,V,,,,,,,,,,,,
01/02/2006,73,719,V,,,,,,,,,,,,
02/02/2006,67,204,V,,,,,,,,,,,,
03/02/2006,73,67,V,,,,,,,,,,,,
04/02/2006,69,540,V,,,,,,,,,,,,
05/02/2006,44,749,V,,,,,,,,,,,,
06/02/2006,37,948,V,,,,,,,,,,,,
07/02/2006,55,647,V,,,,,,,,,,,,
08/02/2006,52,529,V,,,,,,,,,,,,
09/02/2006,37,723,V,,,,,,,,,,,,
10/02/2006,52,47,V,,,,,,,,,,,,
11/02/2006,53,430,V,,,,,,,,,,,,
12/02/2006,31,112,V,,,,,,,,,,,,
13/02/2006,27,977,V,,,,,,,,,,,,
14/02/2006,30,507,V,,,,,,,,,,,,
15/02/2006,30,509,V,,,,,,,,,,,,
16/02/2006,62,615,V,,,,,,,,,,,,
17/02/2006,224,273,V,,,,,,,,,,,,
18/02/2006,179,221,V,,,,,,,,,,,,
19/02/2006,136,866,V,,,,,,,,,,,,
20/02/2006,206,244,V,,,,,,,,,,,,
21/02/2006,285,218,V,,,,,,,,,,,,
22/02/2006,296,621,V,,,,,,,,,,,,
23/02/2006,298,80,V,,,,,,,,,,,,
24/02/2006,247,427,V,,,,,,,,,,,,
25/02/2006,236,869,V,,,,,,,,,,,,
26/02/2006,182,593,V,,,,,,,,,,,,
27/02/2006,126,401,V,,,,,,,,,,,,
28/02/2006,154,354,V,,,,,,,,,,,,
01/03/2006,131,473,V,,,,,,,,,,,,
02/03/2006,111,743,V,,,,,,,,,,,,
03/03/2006,155,866,V,,,,,,,,,,,,
04/03/2006,289,609,V,,,,,,,,,,,,
05/03/2006,226,711,V,,,,,,,,,,,,
06/03/2006,699,617,V,,,,,,,,,,,,
07/03/2006,394,349,V,,,,,,,,,,,,
08/03/2006,280,285,V,,,,,,,,,,,,
09/03/2006,227,927,V,,,,,,,,,,,,
10/03/2006,178,835,V,,,,,,,,,,,,
11/03/2006,187,233,V,,,,,,,,,,,,
12/03/2006,50,569,V,,,,,,,,,,,,
13/03/2006,132,36,V,,,,,,,,,,,,
14/03/2006,144,800,V,,,,,,,,,,,,
15/03/2006,129,636,V,,,,,,,,,,,,
16/03/2006,117,576,V,,,,,,,,,,,,
17/03/2006,102,623,V,,,,,,,,,,,,
18/03/2006,82,124,V,,,,,,,,,,,,
19/03/2006,95,806,V,,,,,,,,,,,,
20/03/2006,95,324,V,,,,,,,,,,,,
21/03/2006,110,320,V,,,,,,,,,,,,
22/03/2006,147,835,V,,,,,,,,,,,,
23/03/2006,149,94,V,,,,,,,,,,,,
24/03/2006,169,261,V,,,,,,,,,,,,
25/03/2006,165,160,V,,,,,,,,,,,,
26/03/2006,155,616,V,,,,,,,,,,,,
27/03/2006,62,774,V,,,,,,,,,,,,
28/03/2006,116,23,V,,,,,,,,,,,,
29/03/2006,95,152,V,,,,,,,,,,,,
30/03/2006,85,718,V,,,,,,,,,,,,
31/03/2006,81,522,V,,,,,,,,,,,,
01/04/2006,84,367,V,,,,,,,,,,,,
02/04/2006,74,856,V,,,,,,,,,,,,
03/04/2006,39,215,V,,,,,,,,,,,,
04/04/2006,64,4,V,,,,,,,,,,,,
05/04/2006,57,486,V,,,,,,,,,,,,
06/04/2006,58,262,V,,,,,,,,,,,,
07/04/2006,66,857,V,,,,,,,,,,,,
08/04/2006,57,66,V,,,,,,,,,,,,
09/04/2006,30,585,V,,,,,,,,,,,,
10/04/2006,28,180,V,,,,,,,,,,,,
11/04/2006,46,713,V,,,,,,,,,,,,
12/04/2006,47,283,V,,,,,,,,,,,,
13/04/2006,27,833,V,,,,,,,,,,,,
14/04/2006,43,890,V,,,,,,,,,,,,
15/04/2006,44,218,V,,,,,,,,,,,,
16/04/2006,25,571,V,,,,,,,,,,,,
17/04/2006,23,834,V,,,,,,,,,,,,
18/04/2006,27,701,V,,,,,,,,,,,,
19/04/2006,41,152,V,,,,,,,,,,,,
20/04/2006,42,180,V,,,,,,,,,,,,
21/04/2006,42,343,V,,,,,,,,,,,,
22/04/2006,41,798,V,,,,,,,,,,,,
23/04/2006,25,524,V,,,,,,,,,,,,
24/04/2006,23,912,V,,,,,,,,,,,,
25/04/2006,23,959,V,,,,,,,,,,,,
26/04/2006,24,5,V,,,,,,,,,,,,
27/04/2006,43,98,V,,,,,,,,,,,,
28/04/2006,42,152,V,,,,,,,,,,,,
29/04/2006,40,165,V,,,,,,,,,,,,
30/04/2006,36,574,V,,,,,,,,,,,,
01/05/2006,48,415,V,,,,,,,,,,,,
02/05/2006,41,278,V,,,,,,,,,,,,
03/05/2006,52,27,V,,,,,,,,,,,,
04/05/2006,38,625,V,,,,,,,,,,,,
05/05/2006,35,73,V,,,,,,,,,,,,
06/05/2006,45,235,V,,,,,,,,,,,,
07/05/2006,24,547,V,,,,,,,,,,,,
