Stazione,Sasso d'Ombrone,,,,,,,,,,,,,,
Codice,TOS01005791,,,,,,,,,,,,,,
Comune,Cinigiano,,,,,,,,,,,,,,
Provincia,GR,,,,,,,,,,,,,,
GB [m],E,1689490,N,4756215,,,,,,,,,,,
WGS84 [°],Lat,42.935,Lon,11.322,,,,,,,,,,,
Quota [m],68,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
01/01/1940,25,800,V,,,,,,,,,,,,
02/01/1940,23,700,V,,,,,,,,,,,,
03/01/1940,20,700,V,,,,,,,,,,,,
04/01/1940,30,100,V,,,,,,,,,,,,
05/01/1940,333,0,V,,,,,,,,,,,,
06/01/1940,77,100,V,,,,,,,,,,,,
07/01/1940,44,500,V,,,,,,,,,,,,
08/01/1940,35,0,V,,,,,,,,,,,,
09/01/1940,29,500,V,,,,,,,,,,,,
10/01/1940,26,500,V,,,,,,,,,,,,
11/01/1940,23,0,V,,,,,,,,,,,,
12/01/1940,20,0,V,,,,,,,,,,,,
13/01/1940,18,900,V,,,,,,,,,,,,
14/01/1940,17,700,V,,,,,,,,,,,,
15/01/1940,17,100,V,,,,,,,,,,,,
16/01/1940,17,100,V,,,,,,,,,,,,
17/01/1940,17,100,V,,,,,,,,,,,,
18/01/1940,17,700,V,,,,,,,,,,,,
19/01/1940,20,0,V,,,,,,,,,,,,
20/01/1940,16,600,V,,,,,,,,,,,,
21/01/1940,16,600,V,,,,,,,,,,,,
22/01/1940,17,700,V,,,,,,,,,,,,
23/01/1940,137,0,V,,,,,,,,,,,,
24/01/1940,153,0,V,,,,,,,,,,,,
25/01/1940,84,200,V,,,,,,,,,,,,
26/01/1940,51,200,V,,,,,,,,,,,,
27/01/1940,37,500,V,,,,,,,,,,,,
28/01/1940,31,0,V,,,,,,,,,,,,
29/01/1940,32,200,V,,,,,,,,,,,,
30/01/1940,33,500,V,,,,,,,,,,,,
31/01/1940,71,700,V,,,,,,,,,,,,
01/02/1940,112,0,V,,,,,,,,,,,,
02/02/1940,135,0,V,,,,,,,,,,,,
03/02/1940,64,900,V,,,,,,,,,,,,
04/02/1940,47,100,V,,,,,,,,,,,,
05/02/1940,50,600,V,,,,,,,,,,,,
06/02/1940,46,100,V,,,,,,,,,,,,
07/02/1940,90,200,V,,,,,,,,,,,,
08/02/1940,58,700,V,,,,,,,,,,,,
09/02/1940,42,800,V,,,,,,,,,,,,
10/02/1940,60,500,V,,,,,,,,,,,,
11/02/1940,58,100,V,,,,,,,,,,,,
12/02/1940,44,500,V,,,,,,,,,,,,
13/02/1940,108,0,V,,,,,,,,,,,,
14/02/1940,43,600,V,,,,,,,,,,,,
15/02/1940,31,100,V,,,,,,,,,,,,
16/02/1940,28,700,V,,,,,,,,,,,,
17/02/1940,28,700,V,,,,,,,,,,,,
18/02/1940,58,800,V,,,,,,,,,,,,
19/02/1940,38,400,V,,,,,,,,,,,,
20/02/1940,28,700,V,,,,,,,,,,,,
21/02/1940,24,400,V,,,,,,,,,,,,
22/02/1940,21,500,V,,,,,,,,,,,,
23/02/1940,19,400,V,,,,,,,,,,,,
24/02/1940,20,0,V,,,,,,,,,,,,
25/02/1940,18,900,V,,,,,,,,,,,,
26/02/1940,17,700,V,,,,,,,,,,,,
27/02/1940,17,700,V,,,,,,,,,,,,
28/02/1940,17,100,V,,,,,,,,,,,,
29/02/1940,15,400,V,,,,,,,,,,,,
01/03/1940,16,0,V,,,,,,,,,,,,
02/03/1940,15,400,V,,,,,,,,,,,,
03/03/1940,14,200,V,,,,,,,,,,,,
04/03/1940,13,700,V,,,,,,,,,,,,
05/03/1940,13,200,V,,,,,,,,,,,,
06/03/1940,12,700,V,,,,,,,,,,,,
07/03/1940,11,600,V,,,,,,,,,,,,
08/03/1940,10,600,V,,,,,,,,,,,,
09/03/1940,9,620,V,,,,,,,,,,,,
10/03/1940,9,200,V,,,,,,,,,,,,
11/03/1940,9,200,V,,,,,,,,,,,,
12/03/1940,9,200,V,,,,,,,,,,,,
13/03/1940,10,100,V,,,,,,,,,,,,
14/03/1940,16,0,V,,,,,,,,,,,,
15/03/1940,9,900,V,,,,,,,,,,,,
16/03/1940,8,400,V,,,,,,,,,,,,
17/03/1940,7,620,V,,,,,,,,,,,,
18/03/1940,7,620,V,,,,,,,,,,,,
19/03/1940,8,0,V,,,,,,,,,,,,
20/03/1940,7,620,V,,,,,,,,,,,,
21/03/1940,7,620,V,,,,,,,,,,,,
22/03/1940,7,240,V,,,,,,,,,,,,
23/03/1940,7,250,V,,,,,,,,,,,,
24/03/1940,6,890,V,,,,,,,,,,,,
25/03/1940,6,530,V,,,,,,,,,,,,
26/03/1940,6,530,V,,,,,,,,,,,,
27/03/1940,6,210,V,,,,,,,,,,,,
28/03/1940,6,210,V,,,,,,,,,,,,
29/03/1940,8,400,V,,,,,,,,,,,,
30/03/1940,18,0,V,,,,,,,,,,,,
31/03/1940,10,600,V,,,,,,,,,,,,
01/04/1940,9,200,V,,,,,,,,,,,,
02/04/1940,8,400,V,,,,,,,,,,,,
03/04/1940,7,620,V,,,,,,,,,,,,
04/04/1940,7,620,V,,,,,,,,,,,,
05/04/1940,7,620,V,,,,,,,,,,,,
06/04/1940,9,620,V,,,,,,,,,,,,
07/04/1940,7,620,V,,,,,,,,,,,,
08/04/1940,6,890,V,,,,,,,,,,,,
09/04/1940,6,210,V,,,,,,,,,,,,
10/04/1940,6,210,V,,,,,,,,,,,,
11/04/1940,5,910,V,,,,,,,,,,,,
12/04/1940,6,890,V,,,,,,,,,,,,
13/04/1940,6,530,V,,,,,,,,,,,,
14/04/1940,6,530,V,,,,,,,,,,,,
15/04/1940,6,210,V,,,,,,,,,,,,
16/04/1940,6,890,V,,,,,,,,,,,,
17/04/1940,6,530,V,,,,,,,,,,,,
18/04/1940,6,210,V,,,,,,,,,,,,
19/04/1940,6,210,V,,,,,,,,,,,,
20/04/1940,5,910,V,,,,,,,,,,,,
21/04/1940,11,600,V,,,,,,,,,,,,
22/04/1940,6,530,V,,,,,,,,,,,,
23/04/1940,6,210,V,,,,,,,,,,,,
24/04/1940,5,910,V,,,,,,,,,,,,
25/04/1940,5,640,V,,,,,,,,,,,,
26/04/1940,8,800,V,,,,,,,,,,,,
27/04/1940,32,0,V,,,,,,,,,,,,
28/04/1940,32,800,V,,,,,,,,,,,,
29/04/1940,59,700,V,,,,,,,,,,,,
30/04/1940,22,300,V,,,,,,,,,,,,
01/05/1940,33,500,V,,,,,,,,,,,,
02/05/1940,28,600,V,,,,,,,,,,,,
03/05/1940,33,100,V,,,,,,,,,,,,
04/05/1940,42,500,V,,,,,,,,,,,,
05/05/1940,20,700,V,,,,,,,,,,,,
06/05/1940,19,200,V,,,,,,,,,,,,
07/05/1940,45,600,V,,,,,,,,,,,,
08/05/1940,15,400,V,,,,,,,,,,,,
