Stazione,Monte S. Quirico,,,,,,,,,,,,,,
Codice,TOS02004291,,,,,,,,,,,,,,
Comune,Lucca,,,,,,,,,,,,,,
Provincia,LU,,,,,,,,,,,,,,
GB [m],E,1621131,N,4857138,,,,,,,,,,,
WGS84 [°],Lat,43.857,Lon,10.507,,,,,,,,,,,
Quota [m],25,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,ATTENZIONE,i,dati,sono,nel,fomato,csv,ed,utilizzano,,,,
,,,come,separatore,di,colonna,il,punto e virgola,e,,,,,,
,,,come,separatore,decimale,la,virgola,,,,,,,,
,,,verificare,le,proprie,impostazioni,internazionali,per,una,corretta,visulizzazione.,,,,
,,,Il,valore,-9999,corrisponde,a,dato,mancante,,,,,,
,,,Il,valore,contrassegnato,con,@,corrisponde,al,dato,mancante,,,,
,,,Il,valore,contrassegnato,con,V,corrisponde,al,dato,validato,,,,
,,,Il,valore,contrassegnato,con,P,corrisponde,al,dato,prevalidato,soggetto,ad,eventuali,modifiche
,,,(consultare,la,sezione,Criteri,di,validazione),,,,,,,
,,,,,,,,,,,,,,,
gg/mm/aaaa,Portata [mc/s],Tipo Dato,,,,,,,,,,,,,
01/01/2004,102,906,V,,,,,,,,,,,,
02/01/2004,94,795,V,,,,,,,,,,,,
03/01/2004,68,378,V,,,,,,,,,,,,
04/01/2004,53,394,V,,,,,,,,,,,,
05/01/2004,47,370,V,,,,,,,,,,,,
06/01/2004,39,261,V,,,,,,,,,,,,
07/01/2004,37,309,V,,,,,,,,,,,,
08/01/2004,43,970,V,,,,,,,,,,,,
09/01/2004,42,49,V,,,,,,,,,,,,
10/01/2004,24,749,V,,,,,,,,,,,,
11/01/2004,22,34,V,,,,,,,,,,,,
12/01/2004,32,74,V,,,,,,,,,,,,
13/01/2004,36,107,V,,,,,,,,,,,,
14/01/2004,32,944,V,,,,,,,,,,,,
15/01/2004,28,713,V,,,,,,,,,,,,
16/01/2004,35,214,V,,,,,,,,,,,,
17/01/2004,166,542,V,,,,,,,,,,,,
18/01/2004,198,505,V,,,,,,,,,,,,
19/01/2004,145,71,V,,,,,,,,,,,,
20/01/2004,105,797,V,,,,,,,,,,,,
21/01/2004,87,921,V,,,,,,,,,,,,
22/01/2004,68,295,V,,,,,,,,,,,,
23/01/2004,60,661,V,,,,,,,,,,,,
24/01/2004,45,545,V,,,,,,,,,,,,
25/01/2004,38,35,V,,,,,,,,,,,,
26/01/2004,40,169,V,,,,,,,,,,,,
27/01/2004,42,718,V,,,,,,,,,,,,
28/01/2004,35,615,V,,,,,,,,,,,,
29/01/2004,33,194,V,,,,,,,,,,,,
30/01/2004,29,113,V,,,,,,,,,,,,
