Date (TU),Valeur (en m³/s),Statut,Qualification,Méthode,Continuité
2010-01-01T00:00:00.000Z,42.5,16,20,10,0
2010-01-02T00:00:00.000Z,38.1,16,20,10,0
2010-01-03T00:00:00.000Z,34.1,16,20,10,0
2010-01-04T00:00:00.000Z,33.4,16,20,10,0
2010-01-05T00:00:00.000Z,31.3,16,20,10,0
2010-01-06T00:00:00.000Z,29.4,16,20,10,0
2010-01-07T00:00:00.000Z,29.1,16,20,10,0
2010-01-08T00:00:00.000Z,33,16,20,10,0
2010-01-09T00:00:00.000Z,39.1,16,20,10,0
2010-01-10T00:00:00.000Z,37.4,16,20,10,0
2010-01-11T00:00:00.000Z,33.4,16,20,10,0
2010-01-12T00:00:00.000Z,30.9,16,20,10,0
2010-01-13T00:00:00.000Z,30.4,16,20,10,0
2010-01-14T00:00:00.000Z,29.2,16,20,10,0
2010-01-15T00:00:00.000Z,28.2,16,20,10,0
2010-01-16T00:00:00.000Z,27.9,16,20,10,0
2010-01-17T00:00:00.000Z,26.6,16,20,10,0
2010-01-18T00:00:00.000Z,26.7,16,20,10,0
2010-01-19T00:00:00.000Z,26,16,20,10,0
2010-01-20T00:00:00.000Z,25.6,16,20,10,0
2010-01-21T00:00:00.000Z,27.1,16,20,10,0
2010-01-22T00:00:00.000Z,24.7,16,20,10,0
2010-01-23T00:00:00.000Z,24.1,16,20,10,0
2010-01-24T00:00:00.000Z,24,16,20,10,0
2010-01-25T00:00:00.000Z,23.6,16,20,10,0
2010-01-26T00:00:00.000Z,23.6,16,20,10,0
2010-01-27T00:00:00.000Z,24.4,16,20,10,0
2010-01-28T00:00:00.000Z,24.8,16,20,10,0
2010-01-29T00:00:00.000Z,24.8,16,20,10,0
2010-01-30T00:00:00.000Z,24.5,16,20,10,0
2010-01-31T00:00:00.000Z,23.2,16,20,10,0
2010-02-01T00:00:00.000Z,21.7,16,20,10,0
2010-02-02T00:00:00.000Z,21.7,16,20,10,0
2010-02-03T00:00:00.000Z,21.8,16,20,10,0
2010-02-04T00:00:00.000Z,21.8,16,20,10,0
2010-02-05T00:00:00.000Z,26.7,16,20,10,0
2010-02-06T00:00:00.000Z,28.5,16,20,10,0
2010-02-07T00:00:00.000Z,26.5,16,20,10,0
2010-02-08T00:00:00.000Z,26.1,16,20,10,0
2010-02-09T00:00:00.000Z,25.8,16,20,10,0
2010-02-10T00:00:00.000Z,25.6,16,20,10,0
2010-02-11T00:00:00.000Z,26.1,16,20,10,0
2010-02-12T00:00:00.000Z,24.8,16,20,10,0
2010-02-13T00:00:00.000Z,24.2,16,20,10,0
2010-02-14T00:00:00.000Z,23.8,16,20,10,0
2010-02-15T00:00:00.000Z,23.1,16,20,10,0
2010-02-16T00:00:00.000Z,21.4,16,20,10,0
